noises_crunch_ @visionexe.wav:0.000547788,0.0034039,0.0592337,4053.06,13994.8,7339.51,0.181737,0.280187,0.459881,0.212158,
noises_miami_ @visionexe.wav:0.00215778,0.0155006,0.017257,1777.76,1830.8,4332.38,0.130746,0.328137,0.572333,0.090809,
noises_shallow_ @visionexe.wav:0.0016686,0.0116225,0.243218,7915.66,21418.8,9502.64,0.15377,0.179246,0.442874,0.373926,
noises_desert_ @visionexe.wav:0.00793909,0.0342822,0.220204,7733.76,21844.7,9730.53,0.183867,0.363103,0.193067,0.381526,
noises_flutter_ @visionexe.wav:0.00153094,0.00954888,0.213089,6790.2,21566,9388.46,0.115265,0.193217,0.484136,0.319519,
noises_traffic_ @visionexe.wav:0.000847905,0.00458865,0.280695,7833.8,21817.4,9856.68,0.135072,0.286477,0.332015,0.371403,
noises_eyes_ @visionexe.wav:0.000284873,0.0104644,0.0715245,3524.29,6709.97,6061.36,0.19222,0.0823832,0.750286,0.165935,
noises_cozy_ @visionexe.wav:0.00369512,0.0692346,0.297927,8330.58,21426,9702.19,0.13032,0.114206,0.496451,0.387896,
noises_tropical_ @visionexe.wav:0.00208129,0.0189201,0.346176,8667.37,21100.7,9474.31,0.143929,0.0752084,0.524499,0.399092,
noises_vhs_ @visionexe.wav:0.00199205,0.0117957,0.03094,2664.7,3269.4,5112.68,0.149261,0.234044,0.644503,0.115926,
